"Ticker","Name","Price","Dividend Yield","Market Cap ($M)","P/E Ratio","Payout Ratio","Beta"
"NWSA","News Corp.","12.90","1.6","7,586","48.6","75.4","0.98"
"O","Realty Income Corp.","76.32","3.5","24,287","59.4","209.8","0.35"
"OKE","ONEOK, Inc.","70.48","4.9","29,114","23.3","114.5","0.94"
"OMC","Omnicom Group, Inc.","80.77","3.2","17,586","13.5","42.7","0.70"
"ORCL","Oracle Corp.","56.49","1.5","185,429","17.9","27.3","1.03"
"ORLY","O'Reilly Automotive, Inc.","439.23","0.0","33,262","25.0","0.0","0.61"
"OXY","Occidental Petroleum Corp.","40.10","7.8","35,868","26.0","203.2","0.95"
"PAYX","Paychex, Inc.","83.25","2.8","29,798","28.3","80.4","0.90"
"PBCT","People's United Financial, Inc.","16.96","4.2","7,413","12.8","53.4","0.93"
"PCAR","PACCAR, Inc.","80.07","1.6","27,694","11.4","18.3","1.03"
"PEG","Public Service Enterprise Group, Inc.","61.43","3.0","31,066","21.3","64.6","0.36"
"PEP","PepsiCo, Inc.","133.13","2.8","185,640","15.1","42.7","0.52"
"PFE","Pfizer Inc.","37.05","3.9","204,925","12.7","49.4","0.69"
"PFG","Principal Financial Group, Inc.","55.30","3.9","15,355","11.6","45.7","1.15"
"PG","Procter & Gamble Co.","119.70","2.4","298,509","74.3","181.8","0.52"
"PGR","Progressive Corp.","73.67","3.7","43,067","13.7","50.4","0.91"
"PH","Parker-Hannifin Corp.","199.54","1.6","25,640","17.4","28.7","1.36"
"PHM","PulteGroup, Inc.","38.18","1.2","10,346","11.6","13.4","0.62"
"PKG","Packaging Corporation of America","113.90","2.8","10,781","14.1","39.1","1.06"
"PKI","PerkinElmer, Inc. (United States)","87.30","0.3","9,696","41.3","13.2","1.32"
"PLD","Prologis, Inc.","87.07","2.4","55,006","30.8","73.3","0.71"
"PM","Philip Morris International, Inc.","83.57","5.5","130,024","17.4","95.6","0.63"
"PNC","The PNC Financial Services Group, Inc.","152.20","2.6","66,689","13.6","35.6","0.92"
"PNR","Pentair Plc","43.37","1.6","7,290","21.1","34.7","1.17"
"PNW","Pinnacle West Capital Corp.","86.39","3.4","9,701","19.3","64.8","0.22"
"PPG","PPG Industries, Inc.","128.92","1.5","30,484","25.3","38.3","0.89"
"PPL","PPL Corp.","33.72","4.9","24,354","13.5","66.1","0.35"
"PRGO","Perrigo Co. Plc","50.05","1.6","6,809","27.6","44.1","1.35"
"PRU","Prudential Financial, Inc.","92.89","4.2","37,341","9.8","41.2","1.21"
"PSA","Public Storage","211.35","3.8","36,918","24.9","94.4","0.10"
"PSX","Phillips 66","119.70","2.8","53,189","12.0","34.0","1.06"
"PVH","PVH Corp.","97.96","0.2","7,263","10.9","1.7","1.42"
"PWR","Quanta Services, Inc.","42.93","0.4","6,110","18.4","6.9","1.17"
"PXD","Pioneer Natural Resources Co.","134.99","0.7","22,562","31.3","21.3","1.30"
"PYPL","PayPal Holdings, Inc.","101.42","0.0","119,086","47.0","0.0","1.39"
"QCOM","QUALCOMM, Inc.","94.03","2.6","114,308","26.0","68.5","1.06"
"QRVO","Qorvo, Inc.","104.04","0.0","12,086","49.3","0.0","1.54"
"RCL","Royal Caribbean Cruises Ltd.","114.53","2.5","24,009","12.5","31.4","1.19"
"RE","Everest Re Group Ltd.","265.35","2.1","10,821","25.9","54.7","0.47"
"REG","Regency Centers Corp.","64.66","3.6","10,856","39.0","139.2","0.49"
"REGN","Regeneron Pharmaceuticals, Inc.","341.79","0.0","37,539","17.3","0.0","1.08"
"RF","Regions Financial Corp.","16.88","3.4","16,272","11.2","38.1","1.15"
"RHI","Robert Half International, Inc.","57.94","2.1","6,811","14.9","31.1","1.29"
"RJF","Raymond James Financial, Inc.","89.29","1.5","12,304","12.2","18.5","1.20"
"RL","Ralph Lauren Corp.","113.77","2.3","8,787","20.7","46.7","1.19"
"RMD","ResMed, Inc.","143.85","1.0","20,683","49.2","51.3","0.89"
"ROK","Rockwell Automation, Inc.","177.82","2.2","20,806","20.6","44.4","1.23"
"ROL","Rollins, Inc.","38.68","1.1","12,665","62.2","65.7","0.82"
"ROP","Roper Technologies, Inc.","337.50","0.5","35,119","30.3","16.6","1.06"
"ROST","Ross Stores, Inc.","111.82","0.9","40,448","25.2","21.6","1.10"
"RSG","Republic Services, Inc.","86.18","1.8","27,642","25.6","45.4","0.46"
"RTN","Raytheon Co.","215.84","1.7","60,106","18.5","31.6","0.77"
"SBAC","SBA Communications Corp.","228.46","0.2","25,725","190.4","30.8","0.41"
"SBUX","Starbucks Corp.","81.77","1.8","96,864","","","0.76"
"SCHW","The Charles Schwab Corp.","43.54","1.5","56,914","16.0","23.5","1.21"
"SEE","Sealed Air Corp.","40.02","1.6","6,184","16.8","26.9","0.57"
